Alpha; Gama; Grade
0,595;0,92;14,0
0,595;0,925;14,0
0,595;0,93;14,0
0,595;0,935;14,0
0,595;0,94;14,0
0,595;0,945;14,0
0,595;0,95;14,0
0,595;0,955;14,0
0,595;0,96;14,0
0,595;0,965;14,0
0,595;0,97;14,0
0,595;0,975;14,0
0,595;0,98;14,0
0,595;0,985;14,0
0,595;0,99;14,6
0,595;0,995;18,2
0,595;1,0;20,0
0,6;0,9;14,0
0,6;0,905;14,0
0,6;0,91;14,0
0,6;0,915;14,0
0,6;0,92;14,0
0,6;0,925;14,0
0,6;0,93;14,0
0,6;0,935;14,0
0,6;0,94;14,0
0,6;0,945;14,0
0,6;0,95;14,0
0,6;0,955;14,0
0,6;0,96;14,0
0,6;0,965;14,0
0,6;0,97;14,0
0,6;0,975;14,0
0,6;0,98;14,0
0,6;0,985;14,0
0,6;0,99;14,0
0,6;0,995;17,0
0,6;1,0;20,0
